متوسط نسبة الاتقان للمواد للعام الدراسي 2024-2025,
,
طـوى اعتيـر للتعليم الاساسى للبنين الصفوف (5-12),نسبة الاتقان
الاحياء,17.60
التربية الاسلامية,60.31
الدراسات الاجتماعية,45.07
الرياضة المدرسية,100.00
الرياضيات,20.20
الرياضيات الأساسية,0.00
الرياضيات المتقدمة,6.25
العلوم,30.06
العلوم البيئية,0.00
الفيزياء,8.83
الكيمياء,9.56
اللغة الانجليزية,14.02
اللغة العربية,29.10
تقنية المعلومات,52.94
